X,Y,borough,location_i,objectid,shape_area,shape_leng,zone
-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village
-73.94233581,40.71446207,Brooklyn,80,80,0.000407322,0.117212621,East Williamsburg
-73.93831331,40.80556468,Manhattan,74,74,0.000295038,0.110290936,East Harlem North
-73.95220892,40.64725485,Brooklyn,85,85,0.000143638,0.057475147,Erasmus
-73.7541915,40.60258754,Queens,86,86,0.000623279,0.134245283,Far Rockaway
-73.94495667,40.79064981,Manhattan,75,75,0.000240564,0.0876639,East Harlem South
-73.87837882,40.6587031,Brooklyn,76,76,0.001266601,0.241203016,East New York
-73.89571715,40.66770172,Brooklyn,77,77,0.000191918,0.075461081,East New York/Pennsylvania Avenue
-73.88664473,40.84601113,Bronx,78,78,0.000191114,0.09359445,East Tremont
-73.84555133,40.87735976,Bronx,81,81,0.000399567,0.197592772,Eastchester
-74.00781099,40.70665828,Manhattan,87,87,6.72E-05,0.03690155,Financial District North
-73.8723464,40.73847115,Queens,82,82,0.000323601,0.11987565,Elmhurst
-73.88923451,40.74014965,Queens,83,83,0.000217464,0.105984933,Elmhurst/Maspeth
-74.17395796,40.53201574,Staten Island,84,84,0.002073756,0.233623987,Eltingville/Annadale/Prince's Bay
-74.01130758,40.70339421,Manhattan,88,88,5.73E-05,0.035204604,Financial District South
-73.96269439,40.64098269,Brooklyn,89,89,0.000447548,0.12279457,Flatbush/Ditmas Park
-73.99677701,40.74254679,Manhattan,90,90,5.53E-05,0.030759162,Flatiron
-74.00717607,40.72537614,Manhattan,125,125,7.64E-05,0.049732212,Hudson Sq
-73.93254325,40.62738904,Brooklyn,91,91,0.00053733,0.124996625,Flatlands
-73.83044666,40.76412692,Queens,92,92,0.000374947,0.117830067,Flushing
-73.84189714,40.739242,Queens,93,93,0.000594278,0.170998028,Flushing Meadows-Corona Park
-73.90059366,40.85825783,Bronx,94,94,6.26E-05,0.049832608,Fordham South
-73.84822805,40.72347879,Queens,95,95,0.00057277,0.113629605,Forest Hills
-73.87597267,40.69575973,Queens,96,96,0.000547566,0.185180248,Forest Park/Highland Park
-73.97557705,40.69061725,Brooklyn,97,97,0.000163304,0.062476015,Fort Greene
-73.77956271,40.73384081,Queens,98,98,0.000485773,0.121661018,Fresh Meadows
-74.18770489,40.57961709,Staten Island,99,99,0.001210165,0.183371489,Freshkills Park
-73.9887859,40.75351403,Manhattan,100,100,3.75E-05,0.024813109,Garment District
-73.7090728,40.74374239,Queens,101,101,0.000452343,0.101709836,Glen Oaks
-73.88200932,40.70266754,Queens,102,102,0.000296595,0.136900485,Glendale
-74.04518092,40.6898599,Manhattan,103,103,6.33E-06,0.014305517,Governor's Island/Ellis Island/Liberty Island
-74.03913079,40.69867212,Manhattan,103,104,1.19E-05,0.021220833,Governor's Island/Ellis Island/Liberty Island
-74.01879445,40.68813766,Manhattan,103,105,0.000368636,0.07742534,Governor's Island/Ellis Island/Liberty Island
-73.99176271,40.67336207,Brooklyn,106,106,0.000113617,0.049211012,Gowanus
-73.98331041,40.7373483,Manhattan,107,107,7.46E-05,0.038041365,Gramercy
-73.98037471,40.58910867,Brooklyn,108,108,0.000352866,0.111171412,Gravesend
-74.15272678,40.5488292,Staten Island,109,109,0.001169601,0.17826782,Great Kills
-74.12584858,40.54326474,Staten Island,110,110,0.000525745,0.103946293,Great Kills Park
-73.9909883,40.6521148,Brooklyn,111,111,0.000208683,0.05993088,Green-Wood Cemetery
-73.94848138,40.72883018,Brooklyn,112,112,0.000462069,0.107267876,Greenpoint
-73.99462809,40.73248529,Manhattan,113,113,5.80E-05,0.032745351,Greenwich Village North
-73.99867809,40.72861251,Manhattan,114,114,4.70E-05,0.031727035,Greenwich Village South
-74.09247375,40.62014121,Staten Island,115,115,0.000373169,0.116169414,Grymes Hill/Clifton
-73.94736722,40.82753532,Manhattan,116,116,0.000260415,0.068116484,Hamilton Heights
-73.77609176,40.59609399,Queens,117,117,0.000904294,0.169885858,Hammels/Arverne
-74.13706456,40.58566355,Staten Island,118,118,0.001826939,0.243966218,Heartland Village/Todt Hill
-73.92696003,40.83673391,Bronx,119,119,0.000185779,0.083507036,Highbridge
-73.93080686,40.84600407,Manhattan,120,120,9.31E-05,0.08326127,Highbridge Park
-73.94847338,40.6065537,Brooklyn,149,149,0.00027064,0.083680582,Madison
-73.94288335,40.58025697,Brooklyn,150,150,0.000332568,0.089331491,Manhattan Beach
-73.79969598,40.72736752,Queens,121,121,0.000384563,0.096915337,Hillcrest/Pomonok
-73.76157173,40.7110871,Queens,122,122,0.000226597,0.066531844,Hollis
-73.96519865,40.60020349,Brooklyn,123,123,0.000296445,0.083421139,Homecrest
-73.85001672,40.65957182,Queens,124,124,0.000754838,0.12772441,Howard Beach
-73.88499141,40.81390513,Bronx,126,126,0.000703274,0.129948726,Hunts Point
-73.92032253,40.8650573,Manhattan,127,127,0.000163196,0.060018886,Inwood
-73.92543651,40.87218161,Manhattan,128,128,0.000207406,0.070209029,Inwood Hill Park
-73.88740844,40.75906899,Queens,129,129,0.000473988,0.093272727,Jackson Heights
-73.83000179,40.70876385,Queens,134,134,0.000202375,0.069587822,Kew Gardens
-73.96780678,40.79786723,Manhattan,151,151,0.000128849,0.054889941,Manhattan Valley
-73.80036129,40.70324251,Queens,130,130,0.000468323,0.142028321,Jamaica
-73.74331647,40.67774877,Queens,139,139,0.00044667,0.093299788,Laurelton
-73.7713781,40.72037363,Queens,131,131,0.000423696,0.116547121,Jamaica Estates
-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport
-73.97433623,40.6393871,Brooklyn,133,133,0.000157189,0.065134863,Kensington
-73.95456794,40.76550672,Manhattan,140,140,0.000114204,0.047584291,Lenox Hill East
-73.82398418,40.72942258,Queens,135,135,0.000467912,0.121793046,Kew Gardens Hills
-73.90572032,40.8648026,Bronx,136,136,0.000148525,0.090628715,Kingsbridge Heights
-73.97712049,40.74035752,Manhattan,137,137,0.000116455,0.046107624,Kips Bay
-73.95971268,40.76683877,Manhattan,141,141,7.67E-05,0.041514464,Lenox Hill West
-73.98135241,40.77390593,Manhattan,142,142,7.57E-05,0.038175894,Lincoln Square East
-73.95432354,40.81757868,Manhattan,152,152,0.000146638,0.057909477,Manhattanville
-73.87283016,40.77487973,Queens,138,138,0.000536797,0.107466934,LaGuardia Airport
-73.98797218,40.77577115,Manhattan,143,143,0.000151094,0.054179854,Lincoln Square West
-73.99740673,40.72058154,Manhattan,144,144,4.75E-05,0.027620167,Little Italy/NoLiTa
-73.94869313,40.74659396,Queens,145,145,0.000346642,0.114313845,Long Island City/Hunters Point
-73.93363873,40.75452473,Queens,146,146,0.000104639,0.047140522,Long Island City/Queens Plaza
-73.89819185,40.81919841,Bronx,147,147,0.000106418,0.058765495,Longwood
-73.99071887,40.71921043,Manhattan,148,148,6.97E-05,0.039130502,Lower East Side
-73.91105281,40.87559609,Manhattan,153,153,3.25E-05,0.024737239,Marble Hill
-73.89612802,40.59313577,Brooklyn,154,154,0.001789687,0.227331571,Marine Park/Floyd Bennett Field
-73.90677633,40.61780196,Brooklyn,155,155,0.000868261,0.169808473,Marine Park/Mill Basin
-74.16492852,40.62879358,Staten Island,156,156,0.001052122,0.14447689,Mariners Harbor
-73.91358512,40.81825907,Bronx,159,159,0.000171249,0.064363233,Melrose South
-73.90191897,40.72404025,Queens,157,157,0.00035437,0.131300218,Maspeth
-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West
-73.88073103,40.71852183,Queens,160,160,0.000571235,0.141519143,Middle Village
-73.97743184,40.7582264,Manhattan,161,161,7.19E-05,0.03580391,Midtown Center
-73.97214548,40.75681613,Manhattan,162,162,4.79E-05,0.035269815,Midtown East
-73.9783669,40.7644253,Manhattan,163,163,4.09E-05,0.034176867,Midtown North
-73.98592911,40.74880822,Manhattan,164,164,5.56E-05,0.035771612,Midtown South
-73.97694274,40.74765443,Manhattan,170,170,7.43E-05,0.045769009,Murray Hill
-73.95460369,40.62096216,Brooklyn,165,165,0.000353959,0.088608036,Midwood
-73.96181547,40.80956968,Manhattan,166,166,0.000255276,0.068823754,Morningside Heights
-73.90444934,40.82798167,Bronx,167,167,0.000167529,0.090815974,Morrisania/Melrose
-73.9706897,40.61763337,Brooklyn,178,178,0.000175805,0.068252877,Ocean Parkway South
-73.91705963,40.80744831,Bronx,168,168,0.000547058,0.114517434,Mott Haven/Port Morris
-73.90502187,40.84911469,Bronx,169,169,0.000146028,0.060104658,Mount Hope
-73.80887651,40.76894255,Queens,171,171,0.0005201,0.107353876,Murray Hill-Queens
-74.10389173,40.57244842,Staten Island,172,172,0.000658403,0.118476116,New Dorp/Midland Beach
-73.86307862,40.75176881,Queens,173,173,0.00017833,0.060063966,North Corona
-73.87775692,40.8768519,Bronx,174,174,0.000155929,0.067817756,Norwood
-73.75537747,40.74343073,Queens,175,175,0.000504921,0.134897665,Oakland Gardens
-73.92681392,40.77142085,Queens,179,179,0.000183893,0.071380864,Old Astoria
-74.1195918,40.5620606,Staten Island,176,176,0.000657782,0.151995191,Oakwood
-73.91111365,40.67709867,Brooklyn,177,177,0.000198895,0.071580541,Ocean Hill
-73.84937181,40.67517869,Queens,180,180,0.000247682,0.080527767,Ozone Park
-73.97904359,40.67202099,Brooklyn,181,181,0.00030689,0.08953724,Park Slope
-73.85794049,40.83739759,Bronx,182,182,9.11E-05,0.039360637,Parkchester
-73.83185365,40.84956854,Bronx,183,183,9.52E-05,0.039826296,Pelham Bay
-73.80460622,40.86480591,Bronx,184,184,0.001988834,0.260815683,Pelham Bay Park
-73.85517433,40.85345267,Bronx,185,185,0.000228537,0.086161968,Pelham Parkway
-73.99245533,40.7484763,Manhattan,186,186,3.71E-05,0.02469639,Penn Station/Madison Sq West
-73.96826747,40.67718167,Brooklyn,189,189,0.000101428,0.048674331,Prospect Heights
-73.97094836,40.66060693,Brooklyn,190,190,0.000270874,0.074329466,Prospect Park
-74.14114822,40.6254545,Staten Island,187,187,0.000421196,0.126868431,Port Richmond
-73.94519995,40.65755875,Brooklyn,188,188,0.000313003,0.097798397,Prospect-Lefferts Gardens
-73.74112811,40.71430676,Queens,191,191,0.000688461,0.130932638,Queens Village
-73.8152012,40.74437566,Queens,192,192,0.000373808,0.11196462,Queensboro Hill
-73.94028585,40.76172435,Queens,193,193,0.000145592,0.065529958,Queensbridge/Ravenswood
-73.9210244,40.79143694,Manhattan,194,194,0.000273482,0.081793835,Randalls Island
-73.86401357,40.72365252,Queens,196,196,0.000197471,0.083242111,Rego Park
-74.00955288,40.67546388,Brooklyn,195,195,0.000801652,0.131308244,Red Hook
-73.73671822,40.65947874,Queens,203,203,0.00061513,0.189937816,Rosedale
-73.82903085,40.69297308,Queens,197,197,0.000504689,0.108568532,Richmond Hill
-73.90198333,40.70453001,Queens,198,198,0.00049981,0.134094243,Ridgewood
-73.88353438,40.79203729,Bronx,199,199,0.000288748,0.077808501,Rikers Island
-73.86990501,40.82829233,Bronx,212,212,0.000161276,0.067129065,Soundview/Bruckner
-73.86076092,40.81646786,Bronx,213,213,0.000904078,0.159958784,Soundview/Castle Hill
-73.90646344,40.89985153,Bronx,200,200,0.000744643,0.112661735,Riverdale/North Riverdale/Fieldston
-74.20696943,40.54074243,Staten Island,204,204,0.000641384,0.101912418,Rossville/Woodrow
-73.84728062,40.57744987,Queens,201,201,0.000619351,0.130404118,Rockaway Park
-73.95041036,40.76116783,Manhattan,202,202,0.000106175,0.069921571,Roosevelt Island
-73.7625885,40.69221614,Queens,205,205,0.000766217,0.141953388,Saint Albans
-74.12316404,40.63597771,Staten Island,206,206,0.000944393,0.212756793,Saint George/New Brighton
-73.8993239,40.76350762,Queens,207,207,4.47E-05,0.028375683,Saint Michaels Cemetery/Woodside
-73.82488696,40.82466576,Bronx,208,208,0.002020326,0.21472101,Schuylerville/Edgewater Park
-74.00236033,40.7084905,Manhattan,209,209,3.89E-05,0.030695311,Seaport
-73.94434292,40.59377539,Brooklyn,210,210,0.000453155,0.114851983,Sheepshead Bay
-74.00137442,40.72389935,Manhattan,211,211,3.97E-05,0.025234508,SoHo
-74.08588545,40.58661753,Staten Island,214,214,0.000811977,0.135300314,South Beach/Dongan Hills
-73.7903944,40.69416663,Queens,215,215,0.000395647,0.103556454,South Jamaica
-73.82051305,40.67707023,Queens,216,216,0.000816077,0.116797555,South Ozone Park
-73.95684084,40.70324955,Brooklyn,217,217,0.000114733,0.055390525,South Williamsburg
-73.77211715,40.67330221,Queens,218,218,0.000281294,0.083700828,Springfield Gardens North
-73.76100847,40.66025613,Queens,219,219,0.000428176,0.15512667,Springfield Gardens South
-73.93144974,40.68878496,Brooklyn,225,225,0.000310835,0.088799207,Stuyvesant Heights
-73.9118816,40.8818912,Bronx,220,220,0.000313036,0.106015943,Spuyten Duyvil/Kingsbridge
-73.97784273,40.73172749,Manhattan,224,224,9.85E-05,0.044020446,Stuy Town/Peter Cooper Village
-73.92931434,40.73526509,Queens,226,226,0.000761944,0.168957762,Sunnyside
-74.08132832,40.62023209,Staten Island,221,221,0.000890112,0.166218221,Stapleton
-73.88206132,40.64668985,Brooklyn,222,222,0.000130268,0.048389353,Starrett City
-73.90665664,40.77820529,Queens,223,223,0.000764361,0.166021925,Steinway
-74.00679504,40.64159694,Brooklyn,227,227,0.000268317,0.082830157,Sunset Park East
-74.00996095,40.65361748,Brooklyn,228,228,0.000993415,0.177685178,Sunset Park West
-73.96517424,40.75658919,Manhattan,229,229,9.47E-05,0.04252529,Sutton Place/Turtle Bay North
-73.98417616,40.75984468,Manhattan,230,230,5.61E-05,0.03102831,Times Sq/Theatre District
-74.00671168,40.71869665,Manhattan,231,231,0.00016693,0.063420117,TriBeCa/Civic Center
-73.9782733,40.78410708,Manhattan,239,239,0.000204715,0.063626115,Upper West Side South
-73.98230749,40.71538428,Manhattan,232,232,0.00021605,0.061470909,Two Bridges/Seward Park
-73.97125455,40.74917369,Manhattan,233,233,0.000116188,0.048035918,UN/Turtle Bay South
-73.99047762,40.74031339,Manhattan,234,234,7.31E-05,0.036072199,Union Sq
-73.91496798,40.85350263,Bronx,235,235,0.000212845,0.076166843,University Heights/Morris Heights
-73.95697238,40.78049139,Manhattan,236,236,0.000102864,0.044251922,Upper East Side North
-73.96569149,40.76854181,Manhattan,237,237,9.60E-05,0.0422126,Upper East Side South
-73.97281448,40.79176595,Manhattan,238,238,0.000184764,0.060109311,Upper West Side North
-73.87906526,40.8947277,Bronx,240,240,0.000722131,0.146069764,Van Cortlandt Park
-73.89645019,40.87597555,Bronx,241,241,0.000254677,0.068764578,Van Cortlandt Village
-73.85664593,40.69013957,Queens,258,258,0.00036621,0.089013379,Woodhaven
-73.83987429,40.84961264,Bronx,242,242,0.000360072,0.138136446,Van Nest/Morris Park
-74.10317823,40.62846582,Staten Island,245,245,0.000466175,0.09598306,West Brighton
-73.95120935,40.77849396,Manhattan,263,263,6.58E-05,0.037016625,Yorkville West
-73.93282471,40.8586701,Manhattan,243,243,0.000438377,0.0943315,Washington Heights North
-73.94166788,40.84121884,Manhattan,244,244,0.000359703,0.080568604,Washington Heights South
-73.84147195,40.76009159,Queens,253,253,7.83E-05,0.0360515,Willets Point
-74.00451221,40.75243776,Manhattan,246,246,0.000281298,0.069467194,West Chelsea/Hudson Yards
-73.92513265,40.82914584,Bronx,247,247,0.000205617,0.092967858,West Concourse
-73.87101158,40.83468754,Bronx,248,248,0.000149593,0.056919117,West Farms/Bronx River
-74.00249691,40.73461128,Manhattan,249,249,7.22E-05,0.036384344,West Village
-73.97723936,40.65366447,Brooklyn,257,257,0.000138909,0.058669026,Windsor Terrace
-73.84958094,40.83261248,Bronx,250,250,0.000240976,0.079626347,Westchester Village/Unionport
-74.12323249,40.61962221,Staten Island,251,251,0.000625755,0.137711161,Westerleigh
-73.81540245,40.78832894,Queens,252,252,0.001025264,0.158004374,Whitestone
-73.85827495,40.88321228,Bronx,254,254,0.00036004,0.085886375,Williamsbridge/Olinville
-73.95713401,40.71883824,Brooklyn,255,255,0.000172309,0.0623842,Williamsburg (North Side)
-73.95910849,40.71098028,Brooklyn,256,256,0.000168611,0.067914967,Williamsburg (South Side)
-73.85639972,40.89908008,Bronx,259,259,0.000394552,0.126750305,Woodlawn/Wakefield
-73.903715,40.74679083,Queens,260,260,0.000422345,0.133514155,Woodside
-74.01291956,40.7089752,Manhattan,261,261,3.43E-05,0.027120456,World Trade Center
-73.94582992,40.77653654,Manhattan,262,262,0.00012233,0.049063623,Yorkville East
